Grand Parent,Grand Parent Description,Parent,Parent Description,Child,Child Description,Grand Child,2023-09-02 00:00:00
2 Microsoft Defender for Cloud,"This section covers recommendations to consider for tenant-wide security policies and plans related to Microsoft Defender. Please note that because Microsoft Defender products require additional licensing, all Microsoft Defender plan recommendations in subsection 2.1 are assigned as ""Level 2"".",2.3 Email notifications,Email notifications are used by Microsoft Defender for Cloud to communicate information and alerts.,Ensure That 'All users with the following roles' is set to 'Owner',Enable security alert emails to subscription owners.,"""All users with the following roles"" not set to Owner.",Alarm
2 Microsoft Defender for Cloud,"This section covers recommendations to consider for tenant-wide security policies and plans related to Microsoft Defender. Please note that because Microsoft Defender products require additional licensing, all Microsoft Defender plan recommendations in subsection 2.1 are assigned as ""Level 2"".",2.3 Email notifications,Email notifications are used by Microsoft Defender for Cloud to communicate information and alerts.,Ensure 'Additional email addresses' is Configured with a Security Contact Email,Microsoft Defender for Cloud emails the subscription owners whenever a high-severity alert is triggered for their subscription. You should provide a security contact email address as an additional email address.,Additional email addresses not configured.,Alarm
2 Microsoft Defender for Cloud,"This section covers recommendations to consider for tenant-wide security policies and plans related to Microsoft Defender. Please note that because Microsoft Defender products require additional licensing, all Microsoft Defender plan recommendations in subsection 2.1 are assigned as ""Level 2"".",2.3 Email notifications,Email notifications are used by Microsoft Defender for Cloud to communicate information and alerts.,Ensure That 'Notify about alerts with the following severity' is Set to 'High',Enables emailing security alerts to the subscription owner or other designated security contact.,"""Notify about alerts with the following severity"" not set to High.",Alarm
2 Microsoft Defender for Cloud,"This section covers recommendations to consider for tenant-wide security policies and plans related to Microsoft Defender. Please note that because Microsoft Defender products require additional licensing, all Microsoft Defender plan recommendations in subsection 2.1 are assigned as ""Level 2"".",2.4 Integrations,"Microsoft Defender for Cloud ingests data from agents, extensions, and integrations. Integration allows other Azure products to send and receive data with Microsoft Defender for Cloud.",Ensure that Microsoft Defender for Cloud Apps integration with Microsoft Defender for Cloud is Selected,This integration setting enables Microsoft Defender for Cloud Apps (formerly 'Microsoft Cloud App Security' or 'MCAS' - see additional info) to communicate with Microsoft Defender for Cloud.,Not applicable.,Not applicable
2 Microsoft Defender for Cloud,"This section covers recommendations to consider for tenant-wide security policies and plans related to Microsoft Defender. Please note that because Microsoft Defender products require additional licensing, all Microsoft Defender plan recommendations in subsection 2.1 are assigned as ""Level 2"".",2.4 Integrations,"Microsoft Defender for Cloud ingests data from agents, extensions, and integrations. Integration allows other Azure products to send and receive data with Microsoft Defender for Cloud.",Ensure that Microsoft Defender for Endpoint integration with Microsoft Defender for Cloud is selected,This integration setting enables Microsoft Defender for Endpoint (formerly 'Advanced Threat Protection' or 'ATP' or 'WDATP' - see additional info) to communicate with Microsoft Defender for Cloud.,Not applicable.,Not applicable
2 Microsoft Defender for Cloud,"This section covers recommendations to consider for tenant-wide security policies and plans related to Microsoft Defender. Please note that because Microsoft Defender products require additional licensing, all Microsoft Defender plan recommendations in subsection 2.1 are assigned as ""Level 2"".",,,Ensure that Microsoft Defender Recommendation for 'Apply system updates' status is 'Completed',Ensure that the latest OS patches for all virtual machines are applied.,Manual verification required.,Manual
2 Microsoft Defender for Cloud,"This section covers recommendations to consider for tenant-wide security policies and plans related to Microsoft Defender. Please note that because Microsoft Defender products require additional licensing, all Microsoft Defender plan recommendations in subsection 2.1 are assigned as ""Level 2"".",,,Ensure Any of the ASC Default Policy Settings are Not Set to 'Disabled',None of the settings offered by ASC Default policy should be set to effect Disabled.,Settings enabled for all the parameters.,Ok
3 Other Security Considerations,This section covers security recommendations to follow to set storage account policies on an Azure Subscription. An Azure storage account provides a unique namespace to store and access Azure Storage data objects.,,,Ensure that 'Secure transfer required' is set to 'Enabled',Enable data encryption in transit.,cs210032000de891a1b encryption in transit enabled.,Ok
3 Other Security Considerations,This section covers security recommendations to follow to set storage account policies on an Azure Subscription. An Azure storage account provides a unique namespace to store and access Azure Storage data objects.,,,Ensure that 'Enable Infrastructure Encryption' for Each Storage Account in Azure Storage is Set to ‘enabled’,Enabling double encryption at the hardware level on top of the default software encryption for Storage Accounts accessing Azure storage solutions.,cs210032000de891a1b infrastructure encryption disabled.,Alarm
3 Other Security Considerations,This section covers security recommendations to follow to set storage account policies on an Azure Subscription. An Azure storage account provides a unique namespace to store and access Azure Storage data objects.,,,Ensure that 'Enable key rotation reminders' is enabled for each Storage Account,Access Keys authenticate application access requests to data contained in Storage Accounts. A periodic rotation of these keys is recommended to ensure that potentially compromised keys cannot result in a long-term exploitable credential. The Rotation Reminder is an automatic reminder feature for a manual procedure.,Manual verification required.,Manual
3 Other Security Considerations,This section covers security recommendations to follow to set storage account policies on an Azure Subscription. An Azure storage account provides a unique namespace to store and access Azure Storage data objects.,,,Ensure that Storage Account Access Keys are Periodically Regenerated,"For increased security, regenerate storage account access keys periodically.",Manual verification required.,Manual
3 Other Security Considerations,This section covers security recommendations to follow to set storage account policies on an Azure Subscription. An Azure storage account provides a unique namespace to store and access Azure Storage data objects.,,,"Ensure Storage Logging is Enabled for Queue Service for 'Read', 'Write', and 'Delete' request","The Storage Queue service stores messages that may be read by any client who has access to the storage account. A queue can contain an unlimited number of messages, each of which can be up to 64KB in size using version 2011-08-18 or newer. Storage Logging happens server-side and allows details for both successful and failed requests to be recorded in the storage account. These logs allow users to see the details of read, write, and delete operations against the queues. Storage Logging log entries contain the following information about individual requests: Timing information such as start time, end-to-end latency, and server latency, authentication details, concurrency information, and the sizes of the request and response messages.","table 'azure_storage_account' column 'queue_logging_read' requires hydrate data from getAzureStorageAccountQueueProperties<br> which failed with error storage.AccountsClient#ListKeys: Failure responding to request: StatusCode=403 -- Original Error: autorest/azure: Service returned an error. Status=403 Code=""AuthorizationFailed"" Message=""The client '3048e5a6-10f9-4dac-892e-1ff1732f65e2' with object id '3048e5a6-10f9-4dac-892e-1ff1732f65e2' does not have authorization to perform action 'Microsoft.Storage/storageAccounts/listKeys/action' over scope '/subscriptions/195d31b2-d396-4dce-a6b3-d7275f741c2b/resourceGroups/cloud-shell-storage-eastus/providers/Microsoft.Storage/storageAccounts/cs210032000de891a1b' or the scope is invalid. If access was recently granted<br> please refresh your credentials."".
 (SQLSTATE HV000)",Error
3 Other Security Considerations,This section covers security recommendations to follow to set storage account policies on an Azure Subscription. An Azure storage account provides a unique namespace to store and access Azure Storage data objects.,,,Ensure that Shared Access Signature Tokens Expire Within an Hour,Expire shared access signature tokens within an hour.,Manual verification required.,Manual
3 Other Security Considerations,This section covers security recommendations to follow to set storage account policies on an Azure Subscription. An Azure storage account provides a unique namespace to store and access Azure Storage data objects.,,,Ensure that 'Public access level' is disabled for storage accounts with blob containers,Disallowing public access for a storage account overrides the public access settings for individual containers in that storage account.,Not applicable.,Not applicable
3 Other Security Considerations,This section covers security recommendations to follow to set storage account policies on an Azure Subscription. An Azure storage account provides a unique namespace to store and access Azure Storage data objects.,,,Ensure Default Network Access Rule for Storage Accounts is Set to Deny,"Restricting default network access helps to provide a new layer of security, since storage accounts accept connections from clients on any network. To limit access to selected networks, the default action must be changed.",cs210032000de891a1b allows traffic from all networks.,Alarm
3 Other Security Considerations,This section covers security recommendations to follow to set storage account policies on an Azure Subscription. An Azure storage account provides a unique namespace to store and access Azure Storage data objects.,,,Ensure 'Allow Azure services on the trusted services list to access this storage account' is Enabled for Storage Account Access,"Some Azure services that interact with storage accounts operate from networks that can't be granted access through network rules. To help this type of service work as intended, allow the set of trusted Azure services to bypass the network rules. These services will then use strong authentication to access the storage account. If the Allow trusted Azure services exception is enabled, the following services are granted access to the storage account: Azure Backup, Azure Site Recovery, Azure DevTest Labs, Azure Event Grid, Azure Event Hubs, Azure Networking, Azure Monitor, and Azure SQL Data Warehouse (when registered in the subscription).",cs210032000de891a1b trusted Microsoft services enabled.,Ok
3 Other Security Considerations,This section covers security recommendations to follow to set storage account policies on an Azure Subscription. An Azure storage account provides a unique namespace to store and access Azure Storage data objects.,,,Ensure Private Endpoints are used to access Storage Accounts,"Use private endpoints for your Azure Storage accounts to allow clients and services to securely access data located over a network via an encrypted Private Link. To do this, the private endpoint uses an IP address from the VNet for each service. Network traffic between disparate services securely traverses encrypted over the VNet. This VNet can also link addressing space, extending your network and accessing resources on it. Similarly, it can be a tunnel through public networks to connect remote infrastructures together. This creates further security through segmenting network traffic and preventing outside sources from accessing it.",cs210032000de891a1b not uses private link.,Alarm
3 Other Security Considerations,This section covers security recommendations to follow to set storage account policies on an Azure Subscription. An Azure storage account provides a unique namespace to store and access Azure Storage data objects.,,,Ensure Soft Delete is Enabled for Azure Containers and Blob Storage,"The Azure Storage blobs contain data like ePHI or Financial, which can be secret or personal. Data that is erroneously modified or deleted by an application or other storage account user will cause data loss or unavailability. It is recommended that both Azure Containers with attached Blob Storage and standalone containers with Blob Storage be made recoverable by enabling the soft delete configuration. This is to save and recover data when blobs or blob snapshots are deleted.",cs210032000de891a1b blobs soft delete disabled.,Alarm
3 Other Security Considerations,This section covers security recommendations to follow to set storage account policies on an Azure Subscription. An Azure storage account provides a unique namespace to store and access Azure Storage data objects.,,,Ensure Storage for Critical Data are Encrypted with Customer Managed Keys,Enable sensitive data encryption at rest using Customer Managed Keys rather than Microsoft Managed keys.,cs210032000de891a1b not encrypted with CMK.,Alarm
3 Other Security Considerations,This section covers security recommendations to follow to set storage account policies on an Azure Subscription. An Azure storage account provides a unique namespace to store and access Azure Storage data objects.,,,"Ensure Storage logging is Enabled for Blob Service for 'Read', 'Write', and 'Delete' requests","The Storage Blob service provides scalable, cost-efficient object storage in the cloud. Storage Logging happens server-side and allows details for both successful and failed requests to be recorded in the storage account. These logs allow users to see the details of read, write, and delete operations against the blobs. Storage Logging log entries contain the following information about individual requests: timing information such as start time, end-to-end latency, and server latency; authentication details; concurrency information; and the sizes of the request and response messages.","table 'azure_storage_account' column 'blob_service_logging' requires hydrate data from getAzureStorageAccountBlobServiceLogging<br> which failed with error storage.AccountsClient#ListKeys: Failure responding to request: StatusCode=403 -- Original Error: autorest/azure: Service returned an error. Status=403 Code=""AuthorizationFailed"" Message=""The client '3048e5a6-10f9-4dac-892e-1ff1732f65e2' with object id '3048e5a6-10f9-4dac-892e-1ff1732f65e2' does not have authorization to perform action 'Microsoft.Storage/storageAccounts/listKeys/action' over scope '/subscriptions/195d31b2-d396-4dce-a6b3-d7275f741c2b/resourceGroups/cloud-shell-storage-eastus/providers/Microsoft.Storage/storageAccounts/cs210032000de891a1b' or the scope is invalid. If access was recently granted<br> please refresh your credentials."".
 (SQLSTATE HV000)",Error
3 Other Security Considerations,This section covers security recommendations to follow to set storage account policies on an Azure Subscription. An Azure storage account provides a unique namespace to store and access Azure Storage data objects.,,,"Ensure Storage Logging is Enabled for Table Service for 'Read', 'Write', and 'Delete' Requests","Azure Table storage is a service that stores structured NoSQL data in the cloud, providing a key/attribute store with a schema-less design. Storage Logging happens server-side and allows details for both successful and failed requests to be recorded in the storage account. These logs allow users to see the details of read, write, and delete operations against the tables. Storage Logging log entries contain the following information about individual requests: timing information such as start time, end-to-end latency, and server latency; authentication details; concurrency information; and the sizes of the request and response messages.",Manual verification required.,Manual
3 Other Security Considerations,This section covers security recommendations to follow to set storage account policies on an Azure Subscription. An Azure storage account provides a unique namespace to store and access Azure Storage data objects.,,,Ensure the 'Minimum TLS version' for storage accounts is set to 'Version 1.2',"In some cases, Azure Storage sets the minimum TLS version to be version 1.0 by default. TLS 1.0 is a legacy version and has known vulnerabilities. This minimum TLS version can be configured to be later protocols such as TLS 1.2.",cs210032000de891a1b minimum TLS version set to TLS1_2.,Ok
,,,,Ensure that 'Auditing' is set to 'On',Enable auditing on SQL Servers.,Not applicable.,Not applicable
,,,,Ensure no Azure SQL Databases allow ingress from 0.0.0.0/0 (ANY IP),Ensure that no SQL Databases allow ingress from 0.0.0.0/0 (ANY IP).,Not applicable.,Not applicable
,,,,Ensure SQL server's Transparent Data Encryption (TDE) protector is encrypted with Customer-managed key,"Transparent Data Encryption (TDE) with Customer-managed key support provides increased transparency and control over the TDE Protector, increased security with an HSM-backed external service, and promotion of separation of duties.",Not applicable.,Not applicable
,,,,Ensure that Azure Active Directory Admin is Configured for SQL Servers,Use Azure Active Directory Authentication for authentication with SQL Database to manage credentials in a single place.,Not applicable.,Not applicable
,,,,Ensure that 'Data encryption' is set to 'On' on a SQL Database,Enable Transparent Data Encryption on every SQL server.,Not applicable.,Not applicable
,,,,Ensure that 'Auditing' Retention is 'greater than 90 days',SQL Server Audit Retention should be configured to be greater than 90 days.,Not applicable.,Not applicable
,,,,Ensure that Microsoft Defender for SQL is set to 'On' for critical SQL Servers,"Enable ""Azure Defender for SQL"" on critical SQL Servers.",Not applicable.,Not applicable
,,,,Ensure that Vulnerability Assessment (VA) is enabled on a SQL server by setting a Storage Account,Enable Vulnerability Assessment (VA) service scans for critical SQL servers and corresponding SQL databases.,Not applicable.,Not applicable
,,,,Ensure that Vulnerability Assessment (VA) setting 'Periodic recurring scans' is set to 'on' for each SQL server,Enable Vulnerability Assessment (VA) Periodic recurring scans for critical SQL servers and corresponding SQL databases.,Not applicable.,Not applicable
,,,,Ensure that Vulnerability Assessment (VA) setting 'Send scan reports to' is configured for a SQL server,Configure 'Send scan reports to' with email ids of concerned data owners/stakeholders for a critical SQL servers.,Not applicable.,Not applicable
,,,,Ensure that Vulnerability Assessment (VA) setting 'Also send email notifications to admins and subscription owners' is set for each SQL Server,Enable Vulnerability Assessment (VA) setting 'Also send email notifications to admins and subscription owners'.,Not applicable.,Not applicable
4 Database Services,This section covers security recommendations to follow to set general database services policies on an Azure Subscription. Subsections will address specific database types.,4.3 PostgreSQL Database Server,This section groups security best practices/recommendations for Azure PostgreSQL Database Servers.,Ensure 'Enforce SSL connection' is set to 'ENABLED' for PostgreSQL Database Server,Enable SSL connection on PostgreSQL Servers.,Not applicable.,Not applicable
4 Database Services,This section covers security recommendations to follow to set general database services policies on an Azure Subscription. Subsections will address specific database types.,4.3 PostgreSQL Database Server,This section groups security best practices/recommendations for Azure PostgreSQL Database Servers.,Ensure Server Parameter 'log_checkpoints' is set to 'ON' for PostgreSQL Database Server,Enable log_checkpoints on PostgreSQL Servers.,Not applicable.,Not applicable
4 Database Services,This section covers security recommendations to follow to set general database services policies on an Azure Subscription. Subsections will address specific database types.,4.3 PostgreSQL Database Server,This section groups security best practices/recommendations for Azure PostgreSQL Database Servers.,Ensure server parameter 'log_connections' is set to 'ON' for PostgreSQL Database Server,Enable log_connections on PostgreSQL Servers.,Not applicable.,Not applicable
4 Database Services,This section covers security recommendations to follow to set general database services policies on an Azure Subscription. Subsections will address specific database types.,4.3 PostgreSQL Database Server,This section groups security best practices/recommendations for Azure PostgreSQL Database Servers.,Ensure server parameter 'log_disconnections' is set to 'ON' for PostgreSQL Database Server,Enable log_disconnections on PostgreSQL Servers.,Not applicable.,Not applicable
4 Database Services,This section covers security recommendations to follow to set general database services policies on an Azure Subscription. Subsections will address specific database types.,4.3 PostgreSQL Database Server,This section groups security best practices/recommendations for Azure PostgreSQL Database Servers.,Ensure server parameter 'connection_throttling' is set to 'ON' for PostgreSQL Database Server,Enable connection_throttling on PostgreSQL Servers.,Not applicable.,Not applicable
4 Database Services,This section covers security recommendations to follow to set general database services policies on an Azure Subscription. Subsections will address specific database types.,4.3 PostgreSQL Database Server,This section groups security best practices/recommendations for Azure PostgreSQL Database Servers.,Ensure Server Parameter 'log_retention_days' is greater than 3 days for PostgreSQL Database Server,Enable log_retention_days on PostgreSQL Servers.,Not applicable.,Not applicable
4 Database Services,This section covers security recommendations to follow to set general database services policies on an Azure Subscription. Subsections will address specific database types.,4.3 PostgreSQL Database Server,This section groups security best practices/recommendations for Azure PostgreSQL Database Servers.,Ensure 'Allow access to Azure services' for PostgreSQL Database Server is disabled,Disable access from Azure services to PostgreSQL Database Server.,Manual verification required.,Manual
4 Database Services,This section covers security recommendations to follow to set general database services policies on an Azure Subscription. Subsections will address specific database types.,4.3 PostgreSQL Database Server,This section groups security best practices/recommendations for Azure PostgreSQL Database Servers.,Ensure 'Infrastructure double encryption' for PostgreSQL Database Server is 'Enabled',Enable encryption at rest for PostgreSQL Databases.,Not applicable.,Not applicable
4 Database Services,This section covers security recommendations to follow to set general database services policies on an Azure Subscription. Subsections will address specific database types.,4.4 MySQL Database,This section groups security best practices/recommendations for Azure MySQL Database Servers.,Ensure 'Enforce SSL connection' is set to 'Enabled' for Standard MySQL Database Server,Enable SSL connection on MySQL Servers.,Not applicable.,Not applicable
4 Database Services,This section covers security recommendations to follow to set general database services policies on an Azure Subscription. Subsections will address specific database types.,4.4 MySQL Database,This section groups security best practices/recommendations for Azure MySQL Database Servers.,Ensure 'TLS Version' is set to 'TLSV1.2' for MySQL flexible Database Server,Ensure TLS version on MySQL flexible servers is set to the default value.,Not applicable.,Not applicable
4 Database Services,This section covers security recommendations to follow to set general database services policies on an Azure Subscription. Subsections will address specific database types.,4.4 MySQL Database,This section groups security best practices/recommendations for Azure MySQL Database Servers.,Ensure server parameter 'audit_log_enabled' is set to 'ON' for MySQL Database Server,Enable audit_log_enabled on MySQL Servers.,Not applicable.,Not applicable
4 Database Services,This section covers security recommendations to follow to set general database services policies on an Azure Subscription. Subsections will address specific database types.,4.4 MySQL Database,This section groups security best practices/recommendations for Azure MySQL Database Servers.,Ensure 'TLS Version' is set to 'TLSV1.2' for MySQL flexible Database Server,Ensure TLS version on MySQL flexible servers is set to the default value.,Not applicable.,Not applicable
4 Database Services,This section covers security recommendations to follow to set general database services policies on an Azure Subscription. Subsections will address specific database types.,4.5 Cosmos DB,This section groups security best practices/recommendations for Azure Cosmos DB Database Servers.,Ensure That 'Firewalls & Networks' Is Limited to Use Selected Networks Instead of All Networks,,Not applicable.,Not applicable
4 Database Services,This section covers security recommendations to follow to set general database services policies on an Azure Subscription. Subsections will address specific database types.,4.5 Cosmos DB,This section groups security best practices/recommendations for Azure Cosmos DB Database Servers.,Ensure That Private Endpoints Are Used Where Possible,"Based on business needs or criticality of data/databases hosted a SQL server, it is recommended that the TDE protector is encrypted by a key that is managed by the data owner (Customer-managed key).",Not applicable.,Not applicable
5 Logging and Monitoring,This section covers security recommendations to follow to set logging and monitoring policies on an Azure Subscription.,5.1 Configuring Diagnostic Settings,"The Azure Diagnostic Settings capture control/management activities performed on a subscription or Azure AD Tenant. By default, the Azure Portal retains activity logs only for 90 days. The Diagnostic Settings define the type of events that are stored or streamed and the outputs—storage account, log analytics workspace, event hub, and others. The Diagnostic Settings, if configured properly, can ensure that all logs are retained for longer duration. This section has recommendations for correctly configuring the Diagnostic Settings so that all logs captured are retained for longer periods.",Ensure that a 'Diagnostics Setting' exists,Enable Diagnostic settings for exporting activity logs. Diagnostic settings are available for each individual resource within a subscription. Settings should be configured for all appropriate resources for your environment.,Manual verification required.,Manual
5 Logging and Monitoring,This section covers security recommendations to follow to set logging and monitoring policies on an Azure Subscription.,5.1 Configuring Diagnostic Settings,"The Azure Diagnostic Settings capture control/management activities performed on a subscription or Azure AD Tenant. By default, the Azure Portal retains activity logs only for 90 days. The Diagnostic Settings define the type of events that are stored or streamed and the outputs—storage account, log analytics workspace, event hub, and others. The Diagnostic Settings, if configured properly, can ensure that all logs are retained for longer duration. This section has recommendations for correctly configuring the Diagnostic Settings so that all logs captured are retained for longer periods.",Ensure Diagnostic Setting captures appropriate categories,"A Diagnostic Setting must exist. If a Diagnostic Setting does not exist, the navigation and options within this recommendation will not be available. Please review the recommendation at the beginning of this subsection titled: 'Ensure that a 'Diagnostic Setting' exists.' The diagnostic setting should be configured to log the appropriate activities from the control/management plane.",Not applicable.,Not applicable
5 Logging and Monitoring,This section covers security recommendations to follow to set logging and monitoring policies on an Azure Subscription.,5.1 Configuring Diagnostic Settings,"The Azure Diagnostic Settings capture control/management activities performed on a subscription or Azure AD Tenant. By default, the Azure Portal retains activity logs only for 90 days. The Diagnostic Settings define the type of events that are stored or streamed and the outputs—storage account, log analytics workspace, event hub, and others. The Diagnostic Settings, if configured properly, can ensure that all logs are retained for longer duration. This section has recommendations for correctly configuring the Diagnostic Settings so that all logs captured are retained for longer periods.",Ensure the storage container storing the activity logs is not publicly accessible,The storage account container containing the activity log export should not be publicly accessible.,Not applicable.,Not applicable
5 Logging and Monitoring,This section covers security recommendations to follow to set logging and monitoring policies on an Azure Subscription.,5.1 Configuring Diagnostic Settings,"The Azure Diagnostic Settings capture control/management activities performed on a subscription or Azure AD Tenant. By default, the Azure Portal retains activity logs only for 90 days. The Diagnostic Settings define the type of events that are stored or streamed and the outputs—storage account, log analytics workspace, event hub, and others. The Diagnostic Settings, if configured properly, can ensure that all logs are retained for longer duration. This section has recommendations for correctly configuring the Diagnostic Settings so that all logs captured are retained for longer periods.",Ensure the storage account containing the container with activity logs is encrypted with Customer Managed Key,Storage accounts with the activity log exports can be configured to use Customer Managed Keys (CMK).,Not applicable.,Not applicable
5 Logging and Monitoring,This section covers security recommendations to follow to set logging and monitoring policies on an Azure Subscription.,5.1 Configuring Diagnostic Settings,"The Azure Diagnostic Settings capture control/management activities performed on a subscription or Azure AD Tenant. By default, the Azure Portal retains activity logs only for 90 days. The Diagnostic Settings define the type of events that are stored or streamed and the outputs—storage account, log analytics workspace, event hub, and others. The Diagnostic Settings, if configured properly, can ensure that all logs are retained for longer duration. This section has recommendations for correctly configuring the Diagnostic Settings so that all logs captured are retained for longer periods.",Ensure that logging for Azure KeyVault is 'Enabled',Enable AuditEvent logging for key vault instances to ensure interactions with key vaults are logged and available.,Not applicable.,Not applicable
5 Logging and Monitoring,This section covers security recommendations to follow to set logging and monitoring policies on an Azure Subscription.,5.1 Configuring Diagnostic Settings,"The Azure Diagnostic Settings capture control/management activities performed on a subscription or Azure AD Tenant. By default, the Azure Portal retains activity logs only for 90 days. The Diagnostic Settings define the type of events that are stored or streamed and the outputs—storage account, log analytics workspace, event hub, and others. The Diagnostic Settings, if configured properly, can ensure that all logs are retained for longer duration. This section has recommendations for correctly configuring the Diagnostic Settings so that all logs captured are retained for longer periods.",Ensure that Network Security Group Flow logs are captured and sent to Log Analytics,Ensure that network flow logs are captured and fed into a central log analytics workspace.,Manual verification required.,Manual
5 Logging and Monitoring,This section covers security recommendations to follow to set logging and monitoring policies on an Azure Subscription.,5.1 Configuring Diagnostic Settings,"The Azure Diagnostic Settings capture control/management activities performed on a subscription or Azure AD Tenant. By default, the Azure Portal retains activity logs only for 90 days. The Diagnostic Settings define the type of events that are stored or streamed and the outputs—storage account, log analytics workspace, event hub, and others. The Diagnostic Settings, if configured properly, can ensure that all logs are retained for longer duration. This section has recommendations for correctly configuring the Diagnostic Settings so that all logs captured are retained for longer periods.",Ensure that logging for Azure AppService 'AppServiceHTTPLogs' is enabled.,Enable AppServiceHTTPLogs diagnostic log category for Azure App Service instances to ensure all http requests are captured and centrally logged.,Manual verification required.,Manual
5 Logging and Monitoring,This section covers security recommendations to follow to set logging and monitoring policies on an Azure Subscription.,5.2 Monitoring using Activity Log Alerts,"The recommendations provided in this section are intended to provide entry-level alerting for crucial activities on a tenant account. These recommended activities should be tuned to your needs. By default, each of these Activity Log Alerts tends to guide the reader to alerting at the ""Subscription-wide"" level which will capture and alert on rules triggered by all resources and resource groups contained within a subscription. This is not an ideal rule set for Alerting within larger and more complex organizations.",Ensure that Activity Log Alert exists for Create Policy Assignment,Create an activity log alert for the Create Policy Assignment event.,Activity log alert does not exists for create policy assignment event.,Alarm
5 Logging and Monitoring,This section covers security recommendations to follow to set logging and monitoring policies on an Azure Subscription.,5.2 Monitoring using Activity Log Alerts,"The recommendations provided in this section are intended to provide entry-level alerting for crucial activities on a tenant account. These recommended activities should be tuned to your needs. By default, each of these Activity Log Alerts tends to guide the reader to alerting at the ""Subscription-wide"" level which will capture and alert on rules triggered by all resources and resource groups contained within a subscription. This is not an ideal rule set for Alerting within larger and more complex organizations.",Ensure that Activity Log Alert exists for Delete Policy Assignment,Create an activity log alert for the Delete Policy Assignment event.,Activity log alert does not exists for delete policy assignment event.,Alarm
5 Logging and Monitoring,This section covers security recommendations to follow to set logging and monitoring policies on an Azure Subscription.,5.2 Monitoring using Activity Log Alerts,"The recommendations provided in this section are intended to provide entry-level alerting for crucial activities on a tenant account. These recommended activities should be tuned to your needs. By default, each of these Activity Log Alerts tends to guide the reader to alerting at the ""Subscription-wide"" level which will capture and alert on rules triggered by all resources and resource groups contained within a subscription. This is not an ideal rule set for Alerting within larger and more complex organizations.",Ensure that Activity Log Alert exists for Create or Update Network Security Group,Create an Activity Log Alert for the Create or Update Network Security Group event.,Activity log alert does not exists for create or update Network Security Group event.,Alarm
5 Logging and Monitoring,This section covers security recommendations to follow to set logging and monitoring policies on an Azure Subscription.,5.2 Monitoring using Activity Log Alerts,"The recommendations provided in this section are intended to provide entry-level alerting for crucial activities on a tenant account. These recommended activities should be tuned to your needs. By default, each of these Activity Log Alerts tends to guide the reader to alerting at the ""Subscription-wide"" level which will capture and alert on rules triggered by all resources and resource groups contained within a subscription. This is not an ideal rule set for Alerting within larger and more complex organizations.",Ensure that Activity Log Alert exists for Delete Network Security Group,Create an activity log alert for the Delete Network Security Group event.,Activity log alert does not exists for delete Network Security Group event.,Alarm
5 Logging and Monitoring,This section covers security recommendations to follow to set logging and monitoring policies on an Azure Subscription.,5.2 Monitoring using Activity Log Alerts,"The recommendations provided in this section are intended to provide entry-level alerting for crucial activities on a tenant account. These recommended activities should be tuned to your needs. By default, each of these Activity Log Alerts tends to guide the reader to alerting at the ""Subscription-wide"" level which will capture and alert on rules triggered by all resources and resource groups contained within a subscription. This is not an ideal rule set for Alerting within larger and more complex organizations.",Ensure that Activity Log Alert exists for Create or Update Security Solution,Create an activity log alert for the Create or Update Security Solution event.,Activity log alert does not exists for create or update Security Solution event.,Alarm
5 Logging and Monitoring,This section covers security recommendations to follow to set logging and monitoring policies on an Azure Subscription.,5.2 Monitoring using Activity Log Alerts,"The recommendations provided in this section are intended to provide entry-level alerting for crucial activities on a tenant account. These recommended activities should be tuned to your needs. By default, each of these Activity Log Alerts tends to guide the reader to alerting at the ""Subscription-wide"" level which will capture and alert on rules triggered by all resources and resource groups contained within a subscription. This is not an ideal rule set for Alerting within larger and more complex organizations.",Ensure that Activity Log Alert exists for Delete Security Solution,Create an activity log alert for the Delete Security Solution event.,Activity log alert does not exists for delete Security Solution event.,Alarm
5 Logging and Monitoring,This section covers security recommendations to follow to set logging and monitoring policies on an Azure Subscription.,5.2 Monitoring using Activity Log Alerts,"The recommendations provided in this section are intended to provide entry-level alerting for crucial activities on a tenant account. These recommended activities should be tuned to your needs. By default, each of these Activity Log Alerts tends to guide the reader to alerting at the ""Subscription-wide"" level which will capture and alert on rules triggered by all resources and resource groups contained within a subscription. This is not an ideal rule set for Alerting within larger and more complex organizations.",Ensure that Activity Log Alert exists for Create or Update SQL Server Firewall Rule,Create an activity log alert for the Create or Update SQL Server Firewall Rule event.,Activity Log Alert does not exists for Create or Update SQL Server Firewall Rule.,Alarm
5 Logging and Monitoring,This section covers security recommendations to follow to set logging and monitoring policies on an Azure Subscription.,5.2 Monitoring using Activity Log Alerts,"The recommendations provided in this section are intended to provide entry-level alerting for crucial activities on a tenant account. These recommended activities should be tuned to your needs. By default, each of these Activity Log Alerts tends to guide the reader to alerting at the ""Subscription-wide"" level which will capture and alert on rules triggered by all resources and resource groups contained within a subscription. This is not an ideal rule set for Alerting within larger and more complex organizations.",Ensure that Activity Log Alert exists for Delete SQL Server Firewall Rule,Create an activity log alert for the 'Delete SQL Server Firewall Rule.',Activity Log Alert does not exists for Delete SQL Server Firewall Rule.,Alarm
